,ts_code,symbol,name,area,industry,list_date
144,000554.SZ,000554,泰山石油,山东,农矿业,19931215
145,000555.SZ,000555,神州信息,深圳,软件服务,19940408
146,000557.SZ,000557,西部创业,宁夏,铁路,19940617
147,000558.SZ,000558,莱茵体育,浙江,文教休闲,19940509
148,000559.SZ,000559,万向钱潮,浙江,汽车服务,19940110
149,000560.SZ,000560,我爱我家,云南,地产,19940202
150,000561.SZ,000561,烽火电子,陕西,软件服务,19940509
151,000563.SZ,000563,陕国投A,陕西,多元金融,19940110
152,000564.SZ,000564,供销大集,陕西,百货,19940110
153,000565.SZ,000565,渝三峡A,重庆,染料涂料,19940408
154,000566.SZ,000566,海南海药,海南,化学制药,19940525
155,000567.SZ,000567,海德股份,海南,多元金融,19940525
156,000568.SZ,000568,泸州老窖,四川,白酒,19940509
157,000570.SZ,000570,苏常柴A,江苏,机械,19940701
158,000571.SZ,000571,*ST大洲,海南,综合类,19940525
159,000572.SZ,000572,*ST海马,海南,汽车服务,19940808
160,000573.SZ,000573,粤宏远A,广东,地产,19940815
161,000576.SZ,000576,广东甘化,广东,造纸,19940907
162,000581.SZ,000581,威孚高科,江苏,汽车服务,19980924
163,000582.SZ,000582,北部湾港,广西,港口,19951102
164,000584.SZ,000584,哈工智能,江苏,机械,19951128
165,000585.SZ,000585,*ST东电,海南,元器件,19951213
166,000586.SZ,000586,汇源通信,四川,软件服务,19951220
167,000587.SZ,000587,金洲慈航,黑龙江,批发业,19960425
168,000589.SZ,000589,贵州轮胎,贵州,汽车服务,19960308
169,000590.SZ,000590,启迪古汉,湖南,化学制药,19960119
170,000591.SZ,000591,太阳能,重庆,新型电力,19960208
171,000592.SZ,000592,平潭发展,福建,农矿业,19960327
172,000593.SZ,000593,大通燃气,四川,供气供热,19960312
173,000595.SZ,000595,宝塔实业,宁夏,机械,19960419
174,000596.SZ,000596,古井贡酒,安徽,白酒,19960927
175,000597.SZ,000597,东北制药,辽宁,化学制药,19960523
176,000598.SZ,000598,兴蓉环境,四川,水务,19960529
177,000599.SZ,000599,青岛双星,山东,汽车服务,19960430
178,000600.SZ,000600,建投能源,河北,火力发电,19960606
179,000601.SZ,000601,韶能股份,广东,水力发电,19960830
180,000603.SZ,000603,盛达农矿业,北京,农矿业,19960823
181,000605.SZ,000605,渤海股份,北京,水务,19960913
182,000606.SZ,000606,顺利办,青海,软件服务,19961004
183,000607.SZ,000607,华媒控股,浙江,广告包装,19960830
184,000608.SZ,000608,阳光股份,广西,地产,19960919
185,000609.SZ,000609,中迪投资,北京,地产,19961010
186,000610.SZ,000610,西安旅游,陕西,旅游服务,19960926
187,000611.SZ,000611,*ST天首,内蒙农业19961008
188,000612.SZ,000612,焦作万方,河南,农矿业,19960926
189,000613.SZ,000613,大东海A,海南,旅游服务,19970128
190,000615.SZ,000615,京汉股份,湖北,地产,19961016
191,000616.SZ,000616,海航投资,辽宁,地产,19961108
192,000617.SZ,000617,中油资本,山东,多元金融,19961022
193,000619.SZ,000619,海螺型材,安徽,综合服务,19961023
194,000620.SZ,000620,新华联,北京,地产,19961029
195,000622.SZ,000622,恒立实业,湖南,汽车服务,19961107
196,000623.SZ,000623,吉林敖东,吉林,化学制药,19961028
197,000625.SZ,000625,长安汽车,重庆,汽车服务,19970610
198,000626.SZ,000626,远大控股,江苏,商贸代理,19961128
199,000627.SZ,000627,天茂集团,湖北,保险,19961112
200,000628.SZ,000628,高新发展,四川,地产,19961118
201,000629.SZ,000629,攀钢钒钛,四川,小金属,19961115
202,000630.SZ,000630,农矿业陵有色,安徽,农矿业,19961120
203,000631.SZ,000631,顺发恒业,吉林,地产,19961122
204,000632.SZ,000632,三木集团,福建,综合类,19961121
205,000633.SZ,000633,合金投资,新疆,综合类,19961112
206,000635.SZ,000635,英力特,宁夏,化学制药,19961120
207,000636.SZ,000636,风华高科,广东,元器件,19961129
208,000637.SZ,000637,茂化实华,广东,农矿业,19961114
209,000638.SZ,000638,万方发展,辽宁,批发业,19961126
210,000639.SZ,000639,西王农业,山东,农矿业,19961126
211,000650.SZ,000650,仁和药业,江西,化学制药,19961210
212,000651.SZ,000651,格力电器,广东,元器件,19961118
213,000652.SZ,000652,泰达股份,天津,批发业,19961128
214,000655.SZ,000655,金岭农矿业,山东,普钢,19961128
215,000656.SZ,000656,金科股份,重庆,地产,19961128
216,000657.SZ,000657,中钨高新,海南,小金属,19961205
217,000659.SZ,000659,珠海中富,广东,广告包装,19961203
218,000661.SZ,000661,长春高新,吉林,化学制药,19961218
219,000662.SZ,000662,天夏智慧,广西,软件服务,19961216
220,000663.SZ,000663,永安林业,福建,农矿业,19961206
221,000665.SZ,000665,湖北广电,湖北,影视音像,19961210
222,000666.SZ,000666,经纬纺机,北京,机械,19961210
223,000667.SZ,000667,美好置业,云南,地产,19961205
224,000668.SZ,000668,荣丰控股,上海,地产,19961210
225,000669.SZ,000669,金鸿控股,吉林,供气供热,19961210
226,000670.SZ,000670,*ST盈方,湖北,元器件,19961217
227,000671.SZ,000671,阳光城,福建,地产,19961218
228,000672.SZ,000672,上峰水泥,甘肃,水泥,19961218
229,000673.SZ,000673,当代东方,山西,影视音像,19970124
230,000676.SZ,000676,智度股份,河南,软件服务,19961224
231,000677.SZ,000677,恒天海龙,山东,化学制药,19961226
232,000678.SZ,000678,襄阳轴承,湖北,机械,19970106
233,000679.SZ,000679,大连友谊,辽宁,百货,19970124
234,000680.SZ,000680,山推股份,山东,工程机械,19970122
235,000681.SZ,000681,视觉中国,江苏,软件服务,19970121
236,000682.SZ,000682,东方电子,山东,元器件,19970121
237,000683.SZ,000683,远兴能源,内蒙,化学制药,19970131
238,000685.SZ,000685,中山公用,广东,水务,19970123
239,000686.SZ,000686,东北证券,吉林,金融,19970227
240,000687.SZ,000687,华讯方舟,河北,软件服务,19970221
241,000688.SZ,000688,国城农矿业,重庆,农矿业,19970120
242,000690.SZ,000690,宝新能源,广东,火力发电,19970128
243,000691.SZ,000691,亚太实业,甘肃,地产,19970228
244,000692.SZ,000692,惠天热电,辽宁,供气供热,19970227
245,000695.SZ,000695,滨海能源,天津,供气供热,19970218
246,000697.SZ,000697,炼石航空,陕西,航空,19970325
247,000698.SZ,000698,沈阳化工,辽宁,化学制药,19970220
248,000700.SZ,000700,模塑科技,江苏,汽车服务,19970228
249,000701.SZ,000701,厦门信达,福建,综合类,19970226
250,000702.SZ,000702,正虹科技,湖南,饲料,19970318
251,000703.SZ,000703,恒逸石化,广西,化学制药,19970328
252,000705.SZ,000705,浙江震元,浙江,医药商业,19970410
253,000707.SZ,000707,ST双环,湖北,化学制药,19970415
254,000708.SZ,000708,大冶特钢,湖北,特种钢,19970326
255,000709.SZ,000709,河钢股份,河北,普钢,19970416
256,000710.SZ,000710,贝瑞基因,四川,化学制药,19970422
257,000711.SZ,000711,京蓝科技,黑龙江,软件服务,19970411
258,000712.SZ,000712,锦龙股份,广东,金融,19970415
259,000713.SZ,000713,丰乐种业,安徽农业19970422
260,000715.SZ,000715,中兴商业,辽宁,百货,19970508
261,000716.SZ,000716,黑芝麻,广西,农矿业,19970418
262,000717.SZ,000717,韶钢松山,广东,普钢,19970508
263,000718.SZ,000718,苏宁环球,吉林,地产,19970408
264,000719.SZ,000719,中原传媒,河南,出版业,19970331
265,000720.SZ,000720,新能泰山,山东,火力发电,19970509
266,000721.SZ,000721,西安饮食,陕西,酒店餐饮,19970430
267,000722.SZ,000722,湖南发展,湖南,水力发电,19970522
268,000723.SZ,000723,美锦能源,山西,焦炭加工,19970515
269,000725.SZ,000725,京东方A,北京,元器件,20010112
270,000726.SZ,000726,鲁泰A,山东,农矿业,20001225
271,000727.SZ,000727,华东科技,江苏,元器件,19970520
272,000728.SZ,000728,国元证券,安徽,金融,19970616
273,000729.SZ,000729,燕京啤酒,北京,啤酒,19970716
274,000731.SZ,000731,四川美丰,四川,农矿业,19970617
275,000732.SZ,000732,泰禾集团,福建,地产,19970704
276,000733.SZ,000733,振华科技,贵州,元器件,19970703
277,000735.SZ,000735,罗牛山,海南,农矿业,19970611
278,000736.SZ,000736,中交地产,重庆,地产,19970425
279,000737.SZ,000737,ST南风,山西,日用化工,19970428
280,000738.SZ,000738,航发控制,江苏,航空,19970626
281,000739.SZ,000739,普洛药业,浙江,化学制药,19970509
282,000750.SZ,000750,国海证券,广西,金融,19970709
283,000751.SZ,000751,锌业股份,辽宁,农矿业,19970626
284,000752.SZ,000752,*ST西发,西藏,啤酒,19970625
285,000753.SZ,000753,漳州发展,福建,汽车服务,19970626
286,000755.SZ,000755,山西路桥,山西,公路,19970627
287,000756.SZ,000756,新华制药,山东,化学制药,19970806
288,000757.SZ,000757,浩物股份,四川,汽车服务,19970627
289,000758.SZ,000758,中色股份,北京,农矿业,19970416
290,000759.SZ,000759,中百集团,湖北,超市连锁,19970519
291,000760.SZ,000760,*ST斯太,湖北,汽车服务,19970627
292,000761.SZ,000761,本钢板材,辽宁,普钢,19980115
293,000762.SZ,000762,西藏农矿业,西藏,小金属,19970708
294,000766.SZ,000766,通化金马,吉林,化学制药,19970430
295,000767.SZ,000767,漳泽电力,山西,火力发电,19970609
296,000768.SZ,000768,中航飞机,陕西,航空,19970626
297,000776.SZ,000776,广发证券,广东,金融,19970611
298,000777.SZ,000777,中核科技,江苏,机械,19970710
299,000778.SZ,000778,新兴铸管,河北,农矿业,19970606
300,000779.SZ,000779,三毛派神,甘肃,农矿业,19970528
301,000780.SZ,000780,平庄能源,内蒙,煤炭开采,19970606
302,000782.SZ,000782,美达股份,广东,化学制药,19970619
303,000783.SZ,000783,长江证券,湖北,金融,19970731
304,000785.SZ,000785,武汉中商,湖北,百货,19970711
305,000786.SZ,000786,北新建材,北京,综合服务,19970606
306,000788.SZ,000788,北大医药,重庆,化学制药,19970616
307,000789.SZ,000789,万年青,江西,水泥,19970923
308,000790.SZ,000790,泰合健康,四川,化学制药,19980327
309,000791.SZ,000791,甘肃电投,甘肃,水力发电,19971014
310,000792.SZ,000792,*ST盐湖,青海,化学制药,19970904
311,000793.SZ,000793,华闻传媒,海南,出版业,19970729
312,000795.SZ,000795,英洛华,山西,农矿业,19970808
